n 10000, TimeSeries size 10000
-0.303,-0.322649
0.556,0.694154
0.347,0.357323
0.703,0.754543
0.233,0.224441
0.736,0.870421
0.467,0.576128
-2.376,-2.38222
-0.653,-0.653186
-1.335,-1.39756
0.592,0.537166
0.990,0.981459
-1.550,-1.53506
0.374,0.403817
-2.115,-2.11707
2.519,2.94517
-0.170,-0.0543479
-0.478,-0.515571
-1.664,-1.47612
0.309,0.416281
1.200,0.705225
-0.646,-0.646356
0.106,0.294937
0.418,0.49158
-0.251,-0.513489
-0.685,-0.737356
-1.845,-1.76751
0.173,0.296924
-0.127,-0.11717
1.277,1.22845
-0.133,-0.0260376
0.327,0.0277609
0.332,0.349012
0.992,1.00778
-0.312,-0.221241
1.222,1.17944
-1.021,-1.03577
-0.809,-0.865635
-0.002,-0.0035788
-1.708,-1.9137
0.393,0.453535
-0.074,-0.0759335
1.372,1.39627
0.178,0.238975
-0.538,-0.306405
-0.212,-0.231984
0.054,-0.0348235
-0.929,-0.938622
-0.360,-0.293968
-1.621,-1.6212
0.210,0.222413
1.276,1.60698
-0.154,-0.146828
0.456,0.537022
1.943,2.17541
-1.039,-1.05642
-0.910,-0.893656
0.233,0.225657
0.441,0.640996
1.110,1.18643
-1.835,-1.87301
1.212,1.19717
0.241,0.0982548
-1.635,-1.61938
0.102,0.0822812
0.489,0.48922
-1.132,-1.17025
0.802,1.06222
0.349,0.240366
-0.089,-0.234449
0.556,0.616524
0.805,0.092914
-0.878,-0.828948
0.412,0.475088
-0.094,0.144732
-0.418,-0.341294
0.339,0.669102
-0.194,-0.221679
-2.791,-2.78893
-0.821,-0.830746
-1.032,-1.00086
0.054,0.0929526
0.585,0.645338
0.700,0.746625
-0.495,-0.496928
-0.642,-0.571662
0.970,0.970723
-0.791,-1.19477
-0.364,-0.267505
-0.158,-0.162067
-0.187,-0.156915
0.145,-0.0163771
-0.840,-0.903289
1.522,1.50842
-0.799,-0.854218
0.026,0.520266
-0.699,-0.692137
-0.325,-0.338833
0.110,0.221896
-0.362,-0.223921
-0.928,-0.898111
0.147,0.11764
1.392,1.47486
-0.551,-0.55016
-1.118,-1.05058
-0.857,-0.998011
0.497,0.139195
-0.590,-0.662829
-0.583,-0.580817
0.413,0.466031
0.669,0.63005
-1.841,-1.98829
-1.833,-1.48213
-0.830,-1.12805
-0.348,-0.556681
0.529,0.299613
0.248,0.374378
0.713,0.69917
0.361,0.399836
0.393,0.327919
-1.888,-1.84416
0.624,1.04434
-0.572,-0.577157
1.050,1.00727
1.332,1.22602
0.700,0.460698
0.663,0.438145
-1.055,-1.01446
-1.415,-1.35044
-0.723,-1.00367
-0.556,-0.411266
1.086,0.960313
-0.506,-0.373591
-1.480,-1.45732
0.130,0.200729
-1.019,-0.998184
-0.238,-0.0584432
0.513,0.542069
0.339,0.525039
-0.680,-0.454791
-1.094,-1.00874
0.664,0.457073
-1.026,-0.860114
0.335,0.418052
1.231,1.26121
2.429,2.37877
0.112,0.241518
0.182,0.219467
-1.074,-1.05973
-0.441,-0.252529
0.566,0.528386
-0.357,-0.449365
0.823,0.83328
0.016,0.27515
-0.076,-0.0957381
0.105,0.369776
0.524,0.606694
1.423,1.26176
0.194,0.199433
1.080,1.185
0.347,0.270341
-0.476,-0.62567
0.245,1.05314
-0.127,-0.210425
-0.419,-0.338816
-0.773,-0.848601
0.532,0.518948
-0.327,-0.318829
-0.157,-0.476965
-1.106,-1.20282
-0.562,-0.276826
-1.204,-1.30258
0.466,0.478451
0.964,0.701841
0.364,0.537971
-0.848,-0.714713
-0.056,-0.464531
0.091,0.0349998
0.721,0.724497
1.178,1.16308
-1.114,-1.12954
-0.832,-0.949172
0.959,1.31451
-1.693,-1.67295
0.011,0.0794093
0.553,0.631911
-0.074,-0.103182
-0.928,-0.84056
-0.076,0.469095
0.344,0.784231
1.110,0.954204
-0.858,-0.858171
0.410,0.350981
-0.974,-0.933591
-0.947,-0.38744
0.820,1.02559
2.130,2.17908
0.109,0.558866
-0.148,-0.124491
0.694,0.961249
-0.412,-0.142794
1.617,1.48647
-0.163,-0.451191
-0.831,-0.942583
0.815,0.883754
0.452,0.381954
0.603,0.507332
